  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,     days_Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,  ORGANIC_BASE,ORGANIC_MEOH_AMPL, ORGANIC_SLOPE,ORGANIC_CH4CONC,ORGANIC_C2H6CONC,ORGANIC_CM_SHIFT, ORGANIC_STDEV,     ORGANIC_Y,    ORGANIC_77,    ORGANIC_82,ORGANIC_SPLINEMAX,ORGANIC_SQUISH,     GALPEAK77,     GALPEAK82,   H2O_Y_EFF_A, STANDARD_BASE,  GALPEAK77_SD,  GALPEAK82_SD,STANDARD_BASE_Sl,STANDARD_STDEV,     SPLINEMAX,SPLINEMAX_STDEV,      Tray,  Sample,     Job,    Method
    11,    P-1333,   2010/06/04 18:39:49,           1-02,       3,       -29.231,      -420.524,         20318,      -1,    1,                                      CG,                               from frig,                 H2O,     154.78468,         0.448,         1.006,            94,        -0.007,        -0.003,          8.62,     999.64768,       0.00018,     -31.61103,      -0.00086,       0.00000,       0.00000,       4.52710,       1.03471,     -40.46269,     -43.66937,    2847.40312,       0.27181,     -46.15124,     -51.00851,       1.06842,    1005.68865,       2.42838,       0.29547,       0.32786,       4.65141,    2852.57657,      13.16678,  MT1-Rear,       2,      29,  5ulnoRns
    12,    P-1333,   2010/06/04 18:49:03,           1-02,       4,       -29.516,      -420.906,         21197,       0,    1,                                      CG,                               from frig,                 H2O,     154.79108,         0.462,         1.801,           105,        -0.006,         0.001,         10.84,    1001.67884,       0.00028,     -34.15896,      -0.00089,       0.00000,       0.00000,       5.38818,       1.03689,     -42.48340,     -45.39975,    2970.02919,       0.26734,     -49.35417,     -53.26354,       1.07402,    1008.40550,       2.60048,       0.41495,       0.43019,       4.77362,    2975.95345,      14.78996,  MT1-Rear,       2,      29,  5ulnoRns
    13,    P-1333,   2010/06/04 18:58:19,           1-02,       5,       -29.563,      -421.500,         20773,       0,    1,                                      CG,                               from frig,                 H2O,     154.79758,         0.489,         1.246,            95,         0.009,        -0.048,          8.89,    1003.01914,       0.00021,     -33.26320,      -0.00089,       0.00000,      -0.00002,       5.02504,       1.03585,     -42.55007,     -44.73101,    2910.87528,       0.26815,     -48.80089,     -52.31297,       1.07291,    1009.32094,       2.64443,       0.38654,       0.37136,       4.73549,    2916.48514,      13.33787,  MT1-Rear,       2,      29,  5ulnoRns
    14,    P-1333,   2010/06/04 19:07:35,           1-02,       6,       -29.537,      -421.648,         20781,       0,    1,                                      CG,                               from frig,                 H2O,     154.80397,         0.467,         1.302,           103,        -0.005,         0.006,         10.28,    1003.56047,       0.00002,     -34.42239,      -0.00095,       0.00000,      -0.00001,       5.84516,       1.03594,     -42.74557,     -44.95543,    2911.93385,       0.27572,     -48.67815,     -52.35920,       1.07968,    1009.08288,       2.57843,       0.33859,       0.41876,       4.70478,    2917.64812,      14.43049,  MT1-Rear,       2,      29,  5ulnoRns
    15,    P-1333,   2010/06/04 19:16:52,           1-02,       7,       -29.459,      -421.200,         20323,       0,    1,                                      CG,                               from frig,                 H2O,     154.81036,         0.515,         1.492,            99,        -0.031,         0.031,         10.77,     999.59050,       0.00009,     -32.99030,      -0.00091,       0.00000,       0.00000,       5.61476,       1.03480,     -41.44727,     -43.91732,    2847.74134,       0.27343,     -47.38312,     -51.13738,       1.07679,    1005.20206,       2.86153,       0.33514,       0.36063,       4.54532,    2853.31143,      13.88401,  MT1-Rear,       2,      29,  5ulnoRns
    16,    P-1333,   2010/06/04 19:26:06,           1-02,       8,       -29.504,      -421.724,         20844,       0,    1,                                      CG,                               from frig,                 H2O,     154.81684,         0.444,         1.601,            95,        -0.014,        -0.031,          8.88,    1001.27079,       0.00013,     -35.53990,      -0.00097,       0.00000,      -0.00001,       6.18048,       1.03611,     -41.97873,     -44.91439,    2920.19552,       0.27100,     -48.62092,     -52.52802,       1.08223,    1007.29619,       2.49602,       0.41019,       0.33703,       4.73844,    2926.36590,      13.28370,  MT1-Rear,       2,      29,  5ulnoRns
    17,    P-1334,   2010/06/04 19:35:22,           1-03,       1,       -24.861,      -387.946,         20333,      -1,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.82328,         0.497,         1.084,            84,         0.007,        -0.035,          8.40,    1001.35666,       0.00026,     -32.62366,      -0.00093,       0.00000,       0.00000,       5.13044,       1.03479,     -16.39118,     -38.14338,    2848.95043,       0.26697,     -22.87986,     -45.45403,       1.07396,    1007.53448,       2.63656,       0.30336,       0.35871,       4.54678,    2854.72435,      11.82441,  MT1-Rear,       3,      29,  5ulnoRns
    18,    P-1334,   2010/06/04 19:44:37,           1-03,       2,       -24.671,      -381.646,         20364,      -1,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.82967,         0.442,         1.100,            95,         0.000,        -0.018,         10.04,     997.49514,       0.00011,     -32.74549,      -0.00090,       0.00000,       0.00001,       5.53772,       1.03489,     -15.94394,     -37.28943,    2853.47792,       0.26112,     -21.88823,     -44.43942,       1.07618,    1003.08404,       2.36422,       0.30373,       0.29333,       4.57858,    2859.08427,      13.32186,  MT1-Rear,       3,      29,  5ulnoRns
    19,    P-1334,   2010/06/04 19:53:52,           1-03,       3,       -24.929,      -379.666,         20691,      -1,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.83611,         0.522,         3.454,            99,         0.004,        -0.039,         10.71,    1000.94172,      -0.00011,     -32.50161,      -0.00095,       0.00000,       0.00000,       5.66988,       1.03571,     -18.38168,     -37.89744,    2899.72716,       0.26591,     -23.50397,     -44.79984,       1.07797,    1005.57545,       2.81959,       0.66409,       0.37692,       4.59103,    2904.96400,      13.92859,  MT1-Rear,       3,      29,  5ulnoRns
    20,    P-1334,   2010/06/04 20:03:08,           1-03,       4,       -24.893,      -379.996,         20567,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.84256,         0.413,         0.925,           102,         0.002,        -0.017,          9.59,    1002.00462,      -0.00005,     -32.71502,      -0.00093,       0.00000,      -0.00001,       5.32693,       1.03539,     -18.02588,     -37.50740,    2882.29519,       0.26895,     -23.21853,     -44.59076,       1.07555,    1007.01034,       2.22514,       0.29655,       0.36249,       4.64462,    2887.52654,      14.29060,  MT1-Rear,       3,      29,  5ulnoRns
    21,    P-1334,   2010/06/04 20:12:24,           1-03,       5,       -24.813,      -379.522,         20311,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.84899,         0.515,         1.247,            91,         0.007,        -0.001,          8.11,     998.98400,       0.00013,     -31.73434,      -0.00086,       0.00000,       0.00000,       4.86292,       1.03472,     -16.78985,     -36.77524,    2846.23708,       0.26335,     -22.60817,     -43.95930,       1.07099,    1004.70453,       2.74236,       0.29571,       0.27554,       4.54046,    2851.55847,      12.72362,  MT1-Rear,       3,      29,  5ulnoRns
    22,    P-1334,   2010/06/04 20:21:40,           1-03,       6,       -24.587,      -379.250,         20554,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.85539,         0.446,         1.932,            97,        -0.004,         0.001,          9.92,     999.66796,       0.00009,     -32.17268,      -0.00092,       0.00000,       0.00001,       5.20536,       1.03534,     -15.91568,     -37.30933,    2880.34281,       0.25947,     -21.56129,     -44.43338,       1.07405,    1005.14122,       2.40626,       0.40464,       0.35189,       4.61586,    2885.71233,      13.56454,  MT1-Rear,       3,      29,  5ulnoRns
    23,    P-1334,   2010/06/04 20:30:56,           1-03,       7,       -24.728,      -379.309,         20596,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.86186,         0.609,         0.738,            89,         0.001,        -0.001,          8.85,     999.41902,       0.00013,     -32.25000,      -0.00094,       0.00000,      -0.00001,       5.07218,       1.03543,     -16.49529,     -37.33318,    2886.18368,       0.26560,     -22.34639,     -44.53368,       1.07314,    1005.07380,       3.28975,       0.23018,       0.30772,       4.62411,    2891.61813,      12.43352,  MT1-Rear,       3,      29,  5ulnoRns
    24,    P-1334,   2010/06/04 20:40:13,           1-03,       8,       -24.824,      -378.958,         20091,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     154.86831,         0.438,         1.368,            96,        -0.006,        -0.010,          8.54,     999.31714,      -0.00007,     -32.05320,      -0.00096,       0.00000,      -0.00001,       5.70512,       1.03426,     -17.33216,     -36.66323,    2815.45837,       0.27447,     -22.51305,     -43.39273,       1.07860,    1003.95208,       2.32237,       0.32573,       0.28358,       4.43850,    2820.71101,      13.42338,  MT1-Rear,       3,      29,  5ulnoRns
    25,    P-1335,   2010/06/04 20:49:29,           1-04,       1,       -24.752,      -472.561,         18695,      -1,    1,                                      E1,                                    EtOH,                 H2O,     154.87474,         0.871,         4.702,            80,        -0.061,        -0.074,         26.09,    3007.91715,       0.00053,     -94.59455,      -0.00097,       0.00000,       0.00005,       5.07965,       1.03057,     -13.26716,     -33.95348,    2612.61228,       0.27228,     -21.12102,     -55.17890,       1.05977,    3029.78440,       4.27199,       0.78305,      -0.09903,      15.25935,    2624.71236,      11.17119,  MT1-Rear,       4,      29,  5ulnoRns
    26,    P-1335,   2010/06/04 20:58:45,           1-04,       2,       -24.322,      -473.505,         18925,      -1,    1,                                      E1,                                    EtOH,                 H2O,     154.88121,         0.808,         5.102,            77,         0.012,         0.377,         18.13,    3054.66403,       0.00031,     -97.93537,      -0.00119,       0.00000,       0.00004,       5.63448,       1.03126,     -11.61181,     -34.89899,    2644.46865,       0.27968,     -19.15610,     -56.00243,       1.07397,    3075.62232,       4.00169,       0.80056,      -0.21638,      15.48292,    2656.95673,      10.81066,  MT1-Rear,       4,      29,  5ulnoRns
    27,    P-1335,   2010/06/04 21:08:01,           1-04,       3,       -22.948,      -443.194,         18972,      -1,    1,                                      E1,                                    EtOH,                 H2O,     154.88765,         4.927,       124.218,           152,         0.610,        14.838,          0.05,    3081.77069,      -0.00030,     -77.66144,      -0.00093,       0.00000,       0.00004,       6.65882,       1.03139,      -8.89549,     -34.71936,    2654.90985,       0.27699,     -12.50808,     -51.41712,       1.06957,    3096.47822,      24.03215,      19.82954,       2.50551,      17.17827,    2663.63431,      21.35458,  MT1-Rear,       4,      29,  5ulnoRns
    28,    P-1335,   2010/06/04 21:17:18,           1-04,       4,       -24.540,      -474.737,         19812,       0,    1,                                      E1,                                    EtOH,                 H2O,     154.89411,         1.205,         4.805,           100,        -0.060,         0.535,         35.59,    3161.18456,       0.00067,    -101.49779,      -0.00117,       0.00000,       0.00005,       4.85227,       1.03335,     -11.17500,     -36.29975,    2767.94730,       0.27019,     -20.84086,     -58.81442,       1.06973,    3184.55758,       6.26054,       0.72921,      -0.00201,      16.21161,    2781.49187,      13.98434,  MT1-Rear,       4,      29,  5ulnoRns
    29,    P-1335,   2010/06/04 21:26:34,           1-04,       5,       -24.394,      -473.994,         18708,       0,    1,                                      E1,                                    EtOH,                 H2O,     154.90053,         1.032,         4.677,            80,         0.062,         0.547,         18.78,    3038.13329,       0.00034,     -97.47449,      -0.00125,       0.00000,       0.00002,       5.21670,       1.03072,     -11.84000,     -34.33482,    2614.17507,       0.27816,     -19.37071,     -55.44348,       1.07321,    3059.18943,       5.04986,       0.66419,      -0.06088,      15.52477,    2626.60578,      11.25661,  MT1-Rear,       4,      29,  5ulnoRns
    30,    P-1335,   2010/06/04 21:35:51,           1-04,       6,       -25.633,      -413.748,         18680,       0,    1,                                      E1,                                    EtOH,                 H2O,     154.90695,         6.511,       235.900,           112,        -0.632,        23.056,         23.67,    3041.61743,       0.00114,     -77.96795,      -0.00136,       0.00000,       0.00001,       6.17774,       1.03066,     -14.26660,     -28.15457,    2610.53247,       0.26979,     -25.54067,     -45.72132,       1.07384,    3061.20804,      32.37651,      37.51580,       2.02027,      17.63001,    2622.56540,      15.67870,  MT1-Rear,       4,      29,  5ulnoRns
    31,    P-1335,   2010/06/04 21:45:08,           1-04,       7,       -24.131,      -474.888,         19347,       0,    1,                                      E1,                                    EtOH,                 H2O,     154.91330,         0.716,         6.518,            74,        -0.023,         0.398,         18.78,    3114.66205,       0.00022,    -100.21530,      -0.00130,       0.00000,       0.00001,       6.02050,       1.03231,     -11.67765,     -35.76210,    2703.90020,       0.27433,     -18.45454,     -57.46895,       1.07699,    3135.93258,       3.64554,       1.04004,      -0.20838,      15.88284,    2716.22455,      10.39900,  MT1-Rear,       4,      29,  5ulnoRns
    32,    P-1335,   2010/06/04 21:54:25,           1-04,       8,       -24.602,      -476.913,         19632,       0,    1,                                      E1,                                    EtOH,                 H2O,     154.91981,         1.152,         4.877,           102,        -0.116,         0.609,         27.59,    3145.87966,       0.00047,    -105.33460,      -0.00158,       0.00000,       0.00001,       6.74788,       1.03307,     -11.89583,     -36.15181,    2742.22955,       0.27483,     -21.04688,     -58.64522,       1.08715,    3168.45811,       5.93692,       0.70178,       0.16935,      16.33833,    2756.28726,      14.28537,  MT1-Rear,       4,      29,  5ulnoRns
    33,    P-1336,   2010/06/04 22:03:42,           1-05,       1,       -24.536,      -447.350,         18769,      -1,    1,                                      E2,                                    EtOH,                 H2O,     154.92633,         0.739,         4.025,            77,         0.034,        -0.149,         14.08,    2452.32199,       0.00027,     -77.50418,      -0.00096,       0.00000,       0.00005,       5.10141,       1.03089,     -13.80016,     -34.26310,    2625.25067,       0.25788,     -20.11084,     -51.40148,       1.06989,    2469.13901,       3.62505,       0.72552,      -0.00117,      12.15132,    2635.09762,      10.78731,  MT1-Rear,       5,      29,  5ulnoRns
    34,    P-1336,   2010/06/04 22:12:59,           1-05,       2,       -24.763,      -446.242,         19549,      -1,    1,                                      E2,                                    EtOH,                 H2O,     154.93271,         0.807,         3.910,            77,        -0.070,        -0.376,         16.77,    2512.39039,       0.00030,     -80.43760,      -0.00102,       0.00000,       0.00006,       4.59099,       1.03274,     -15.26657,     -35.56671,    2734.35912,       0.26246,     -21.81035,     -53.33951,       1.06715,    2529.84896,       4.16074,       0.75502,       0.10881,      12.82593,    2744.62943,      10.78898,  MT1-Rear,       5,      29,  5ulnoRns
    35,    P-1336,   2010/06/04 22:22:16,           1-05,       3,       -24.738,      -447.373,         19564,      -1,    1,                                      E2,                                    EtOH,                 H2O,     154.93919,         0.896,         4.934,            82,        -0.071,         0.039,         16.99,    2512.04122,       0.00016,     -80.74740,      -0.00102,       0.00000,       0.00002,       4.96825,       1.03281,     -15.38861,     -35.85877,    2736.55573,       0.26654,     -21.69775,     -53.56541,       1.07032,    2528.99853,       4.62859,       0.82357,       0.01036,      12.77808,    2746.72418,      11.50485,  MT1-Rear,       5,      29,  5ulnoRns
    36,    P-1336,   2010/06/04 22:31:33,           1-05,       4,       -24.479,      -450.205,         20105,       0,    1,                                      E2,                                    EtOH,                 H2O,     154.94566,         0.864,         3.869,            92,        -0.040,        -0.075,         17.18,    2558.89160,       0.00029,     -83.44027,      -0.00111,       0.00000,       0.00006,       5.38790,       1.03412,     -13.85976,     -37.02096,    2812.10048,       0.26581,     -20.70821,     -55.51680,       1.07047,    2576.97899,       4.57424,       0.72139,       0.24229,      13.18097,    2822.68242,      12.94906,  MT1-Rear,       5,      29,  5ulnoRns
    37,    P-1336,   2010/06/04 22:40:51,           1-05,       5,       -24.759,      -446.134,         19102,       0,    1,                                      E2,                                    EtOH,                 H2O,     154.95205,         0.581,         3.457,            82,        -0.014,        -0.059,         14.53,    2476.86115,       0.00014,     -78.79306,      -0.00111,       0.00000,       0.00002,       5.05662,       1.03172,     -15.41057,     -34.96704,    2671.93492,       0.27540,     -21.46157,     -52.11069,       1.07239,    2493.18542,       2.92537,       0.61853,       0.09889,      12.30726,    2681.87284,      11.56355,  MT1-Rear,       5,      29,  5ulnoRns
    38,    P-1336,   2010/06/04 22:50:08,           1-05,       6,       -24.368,      -409.542,         19469,       0,    1,                                      E2,                                    EtOH,                 H2O,     154.95856,         1.047,       163.566,            89,         0.066,        11.419,         12.74,    2508.75945,       0.00154,     -72.66109,      -0.00147,       0.00000,       0.00001,       5.79258,       1.03257,      -6.98013,     -30.21089,    2721.16342,       0.26938,     -19.73534,     -47.11204,       1.07220,    2528.63491,       5.33901,      26.82860,       0.87719,      13.64002,    2733.33674,      12.51149,  MT1-Rear,       5,      29,  5ulnoRns
    39,    P-1336,   2010/06/04 22:59:25,           1-05,       7,       -24.798,      -445.617,         19386,       0,    1,                                      E2,                                    EtOH,                 H2O,     154.96494,         0.852,         6.190,            92,         0.021,         0.585,         18.09,    2502.55002,       0.00000,     -79.21435,      -0.00120,       0.00000,      -0.00001,       5.90994,       1.03248,     -16.07937,     -35.98831,    2711.71923,       0.27225,     -21.86458,     -52.79237,       1.08008,    2518.02365,       4.32869,       0.91895,       0.05681,      12.33758,    2721.72875,      12.94951,  MT1-Rear,       5,      29,  5ulnoRns
    40,    P-1336,   2010/06/04 23:08:42,           1-05,       8,       -24.778,      -446.520,         19212,       0,    1,                                      E2,                                    EtOH,                 H2O,     154.97138,         0.772,         3.352,            87,        -0.049,         0.207,         19.11,    2486.08161,       0.00029,     -79.25774,      -0.00108,       0.00000,       0.00004,       5.63588,       1.03201,     -14.62437,     -35.24756,    2686.76035,       0.27167,     -21.64169,     -52.46877,       1.07657,    2502.92202,       3.91425,       0.53122,      -0.05650,      12.32386,    2697.23435,      12.14454,  MT1-Rear,       5,      29,  5ulnoRns
    41,    P-1337,   2010/06/04 23:17:59,           1-06,       1,       -23.410,      -414.855,         19464,      -1,    1,                                      E3,                                    EtOH,                 H2O,     154.97788,         4.980,        95.256,           151,         0.318,         6.115,          4.78,    2281.35775,      -0.00086,     -54.69718,      -0.00069,       0.00000,      -0.00001,       7.06144,       1.03268,     -14.97688,     -36.98352,    2727.52152,       0.26139,     -14.99369,     -48.04677,       1.07266,    2288.60140,      24.80833,      15.55493,       1.45082,      13.21389,    2732.67682,      21.25305,  MT1-Rear,       6,      29,  5ulnoRns
    42,    P-1337,   2010/06/04 23:27:17,           1-06,       2,       -24.444,      -436.854,         20514,      -1,    1,                                      E3,                                    EtOH,                 H2O,     154.98437,         0.756,         3.620,            80,        -0.014,         0.125,         13.97,    2337.72320,       0.00005,     -75.70036,      -0.00104,       0.00000,       0.00003,       5.19536,       1.03515,     -15.01762,     -37.60069,    2870.84264,       0.26549,     -20.76945,     -54.32545,       1.07176,    2353.20974,       4.07462,       0.61843,       0.30551,      11.87577,    2880.16247,      11.19747,  MT1-Rear,       6,      29,  5ulnoRns
    43,    P-1337,   2010/06/04 23:36:33,           1-06,       3,       -24.556,      -435.207,         19128,      -1,    1,                                      E3,                                    EtOH,                 H2O,     154.99082,         0.480,         3.251,            68,        -0.009,        -0.145,         11.95,    2239.15792,       0.00054,     -69.88143,      -0.00092,       0.00000,       0.00004,       4.64143,       1.03173,     -13.20783,     -34.54767,    2676.06505,       0.26124,     -20.46192,     -50.41616,       1.06566,    2255.39116,       2.41542,       0.59466,       0.11480,      10.93836,    2685.50006,       9.50433,  MT1-Rear,       6,      29,  5ulnoRns
    44,    P-1337,   2010/06/04 23:45:50,           1-06,       4,       -24.464,      -436.405,         19870,       0,    1,                                      E3,                                    EtOH,                 H2O,     154.99727,         0.677,         4.685,            85,        -0.026,         0.244,         17.39,    2289.95650,       0.00029,     -74.04591,      -0.00107,       0.00000,      -0.00002,       5.12617,       1.03359,     -13.94710,     -36.15525,    2780.08803,       0.26380,     -20.47817,     -52.55654,       1.07279,    2305.88057,       3.53984,       0.75612,       0.23939,      11.59717,    2789.68886,      11.88196,  MT1-Rear,       6,      29,  5ulnoRns
    45,    P-1337,   2010/06/04 23:55:07,           1-06,       5,       -24.498,      -435.082,         19942,       0,    1,                                      E3,                                    EtOH,                 H2O,     155.00371,         0.624,         4.336,            96,         0.034,        -0.216,         18.67,    2296.81146,       0.00004,     -71.61673,      -0.00106,       0.00000,       0.00003,       5.02678,       1.03374,     -15.28221,     -36.76464,    2790.91461,       0.26957,     -20.69722,     -52.52452,       1.06905,    2311.32081,       3.23887,       0.83168,       0.27768,      11.42601,    2799.80555,      13.46806,  MT1-Rear,       6,      29,  5ulnoRns
    46,    P-1337,   2010/06/05 00:04:25,           1-06,       6,       -24.360,      -435.486,         19575,       0,    1,                                      E3,                                    EtOH,                 H2O,     155.01015,         0.706,         4.115,            81,         0.056,        -0.017,         11.19,    2268.80098,       0.00040,     -71.44660,      -0.00107,       0.00000,      -0.00001,       5.01660,       1.03284,     -12.58069,     -35.69967,    2738.59588,       0.26781,     -19.74659,     -51.63055,       1.06936,    2284.55869,       3.59191,       0.73410,       0.06514,      11.10950,    2748.21942,      11.31932,  MT1-Rear,       6,      29,  5ulnoRns
    47,    P-1337,   2010/06/05 00:13:42,           1-06,       7,       -24.300,      -435.067,         20034,       0,    1,                                      E3,                                    EtOH,                 H2O,     155.01658,         0.660,         5.911,            90,        -0.041,        -0.203,         17.60,    2304.11525,       0.00008,     -75.41163,      -0.00112,       0.00000,       0.00002,       5.68111,       1.03404,     -13.43330,     -36.56512,    2802.82658,       0.26783,     -19.72195,     -52.76104,       1.07838,    2319.11434,       3.48711,       1.07523,       0.18716,      11.68373,    2812.64549,      12.60902,  MT1-Rear,       6,      29,  5ulnoRns
